Uid,Fold
8560,1
8562,2
8563,1
7724,4
8565,3
8566,2
8567,1
8570,1
8109,4
8571,2
3083,3
8573,2
8574,2
5626,4
8575,5
5105,4
8578,3
8579,2
8001,2
8580,2
5426,3
8585,4
8586,2
8590,1
42240,5
7937,5
8594,3
45464,4
1646,2
7379,3
8597,2
8598,3
7815,3
8599,3
8600,4
6637,5
6202,4
7154,5
8605,2
8606,4
36369,3
35089,3
8608,4
8609,2
8610,5
8611,4
8612,3
7206,3
6123,1
40549,5
8614,3
8615,2
8622,4
8623,1
8444,3
8625,1
8626,3
8627,4
8628,3
8629,1
7149,2
8631,5
8632,2
4986,4
7003,5
8637,1
7427,5
8640,4
8642,4
7725,4
8643,5
8645,4
7054,4
8538,3
8647,5
8648,2
8651,5
56469,2
58070,4
8656,5
6304,2
8430,1
8660,2
8666,2
7488,2
8667,3
8669,3
7941,3
8670,2
8671,4
8672,3
57397,4
8675,5
8676,2
8677,2
8603,1
8678,3
8682,4
5287,3
8687,2
5934,2
8649,2
8688,5
8689,3
8691,4
8692,4
8693,5
8695,3
8696,4
8697,3
8698,1
6128,2
8700,5
7645,3
5400,1
5333,1
8705,3
8706,4
8707,5
7835,2
5269,4
8711,3
8712,3
6031,3
8713,3
7969,4
8716,4
8717,3
8718,3
8719,2
8674,4
8721,4
7823,3
6102,4
8722,4
8723,5
8504,3
7407,4
8724,3
8297,4
5444,5
6772,5
8725,5
7997,1
8727,4
8728,1
7866,4
8730,2
8731,5
7100,2
58921,2
6081,1
8734,4
489,2
8736,4
5271,5
8422,1
5250,1
8738,5
8739,1
7850,4
4969,5
8741,5
8742,1
8743,5
8744,5
8746,3
5432,1
8747,5
8749,5
8750,1
8751,5
8752,5
8753,5
21058,3
8754,5
6950,3
8756,4
7619,1
7646,5
8759,3
7234,5
8760,1
8762,3
8764,2
8765,2
8766,2
8767,3
8769,5
3185,5
8770,1
8771,3
8772,3
7203,1
8776,5
8777,5
8778,1
7732,2
8780,1
6058,2
8781,3
8782,3
8048,1
8784,2
8785,3
2186,5
8787,4
5113,2
8789,3
8790,4
7939,1
8393,5
8792,2
8793,2
7663,5
8794,4
8796,2
8797,4
8799,5
8800,5
7070,5
8801,2
8802,2
8803,2
8804,1
4891,4
8807,2
8808,1
8809,4
8810,1
8812,1
7834,4
6660,2
8813,4
7581,2
5468,3
8817,2
8819,2
8820,4
8821,5
8822,2
6701,3
6516,4
8825,5
8826,5
7602,4
8827,4
8828,1
5772,5
8829,4
8830,2
8831,5
8832,5
8774,5
8834,3
7832,3
8835,2
8839,5
8432,1
7454,3
8841,1
8842,5
8843,5
8210,2
7684,2
7717,5
7410,4
39739,4
8844,2
8846,5
8847,4
8848,1
8849,2
8850,3
8851,3
6784,1
8852,4
8853,2
8854,1
8855,2
3951,2
8856,5
8530,5
8758,1
7181,4
7489,4
8658,4
8857,5
6277,4
7503,3
8858,3
8859,4
8860,4
8861,5
8862,1
8863,2
8864,1
8865,1
8866,4
8867,4
5519,3
8868,1
8869,4
8871,4
8872,2
8873,4
8874,5
7393,1
8876,4
8877,1
7710,1
8879,5
8881,1
57821,3
8882,3
8885,1
8006,3
39026,4
21738,3
8886,3
8888,2
5043,4
8890,5
8892,3
8893,3
8894,5
8895,5
8896,4
6984,5
7870,2
8897,3
8898,4
8899,2
8900,4
7047,3
8902,3
8327,4
8903,3
8371,3
6542,1
8905,4
8906,3
8907,2
8908,5
5525,4
8909,4
8910,2
8911,4
8912,1
8916,1
8917,2
8918,3
8449,1
8919,4
8920,4
6662,4
5887,4
7588,1
8193,5
8924,5
8925,4
5779,4
8926,3
5880,3
8200,5
5165,4
7707,4
6612,1
8930,4
7421,1
4882,3
8931,3
8932,1
7630,2
5656,2
8933,5
7085,2
8934,3
5879,1
8935,4
8936,3
8937,1
8938,2
8681,4
8939,1
8940,2
8941,2
8943,1
8944,2
8945,1
8946,5
8947,4
8948,3
8949,3
6999,5
8018,5
7600,1
7695,3
5473,1
8953,5
8955,5
8956,3
8957,3
6912,2
5941,1
8959,5
5898,1
7784,2
5156,2
8204,4
8961,1
8962,2
8964,2
8965,5
8215,5
5498,1
8968,3
8969,1
8970,4
8971,5
8972,3
8973,2
8975,3
8976,4
8978,2
6096,3
7344,1
8980,1
8981,3
8982,5
8983,5
8984,2
8985,2
8986,2
6980,1
8987,1
7274,1
4880,2
8988,3
8990,4
8991,3
5371,3
8992,3
8993,4
8994,2
8995,4
7968,5
8998,4
9000,5
8373,3
5895,4
6627,3
9001,4
9002,5
9003,5
9004,5
6371,1
7087,4
6986,5
5915,4
6237,5
53286,2
9007,1
9009,2
9010,3
9011,4
5127,4
9012,3
5186,4
4977,3
7886,2
7322,1
8836,3
9014,5
54350,3
9016,3
8757,2
9017,5
4846,3
9019,1
7879,2
5717,4
9020,1
9021,4
9023,1
9024,4
9026,5
9027,4
9028,3
9029,5
9031,5
6856,5
9032,3
7276,5
9033,5
8475,2
8266,2
9034,3
25278,2
9035,4
9036,2
9037,5
9039,3
6133,4
8022,5
9040,3
5486,2
9042,2
5397,3
7334,3
9045,2
9046,1
9048,5
9049,3
9047,3
8763,3
9051,2
9052,2
7548,1
6532,2
9053,3
9054,4
7852,5
6050,4
9055,5
9056,3
9057,3
5555,3
9058,1
9059,1
9060,5
9061,4
9062,4
9063,5
6624,1
9064,3
9066,5
9067,4
8657,5
9068,5
9069,1
9070,3
9071,4
9072,3
9073,4
9074,3
9075,4
9076,3
9077,5
9078,3
9079,2
9080,3
9081,2
9082,3
9083,3
9084,2
9085,4
6606,5
9087,4
9089,5
9090,2
7160,3
9091,2
9092,1
7806,2
9093,1
9094,2
7284,4
5798,2
9095,4
6570,4
9096,1
6130,2
9097,1
9098,1
7192,5
9099,1
9100,1
9101,3
9103,5
9104,4
9105,3
8928,2
9106,5
9108,3
9110,4
9111,3
9112,3
9113,3
9115,4
9116,1
9117,3
9119,4
9120,4
9121,1
9122,1
9123,5
9124,1
9125,5
9126,5
9127,2
9128,2
8303,1
4071,4
8526,5
9131,4
28770,3
8020,2
9132,4
5315,4
9133,2
5442,5
5427,1
9134,5
8176,2
9135,1
9136,4
9137,2
9138,2
9139,1
8508,3
9140,1
9141,3
9142,3
9143,4
9144,5
6743,2
9145,4
9146,2
9147,3
9148,3
9149,2
9150,1
9151,3
9152,1
9153,4
6759,1
5784,2
9154,2
8431,4
9155,3
9156,5
7743,1
9157,2
8733,2
9159,3
6247,2
34,3
9160,4
9161,5
9162,3
9163,1
9164,5
9165,3
9166,3
9167,4
9168,5
9169,1
9170,4
8701,2
55172,5
9173,1
9174,4
9175,1
9176,3
9177,4
7039,2
9178,1
9179,1
9180,1
7072,3
8914,2
9181,4
8261,1
9182,1
9183,5
9184,2
9185,4
6470,2
7027,1
50770,4
9186,2
5030,3
9187,4
9188,1
9189,5
9190,1
9192,2
6506,5
7331,4
9193,4
9194,1
9195,2
9196,3
9197,2
9198,1
9199,4
56923,5
9200,1
9201,5
8405,3
9202,5
9203,5
9204,5
9205,1
9206,2
7380,5
5122,5
9208,3
7899,3
9209,4
9210,5
49124,1
9212,3
9213,3
9214,3
9215,4
9216,3
9218,3
9219,3
7659,1
9220,3
9221,3
9222,2
9223,4
47966,2
9224,2
5943,3
9225,1
9226,3
9227,4
9228,4
9229,5
9230,2
9231,2
9232,5
7726,1
9233,1
8875,1
9234,5
9235,1
9236,4
28637,4
9238,4
8346,3
9239,4
9240,2
9241,3
9242,2
9243,1
9244,1
9246,5
9247,2
7115,5
9248,1
9249,4
9250,1
9251,5
8497,4
9252,4
8589,3
9118,5
9253,1
9254,4
9255,1
7935,5
5662,4
9256,3
9257,1
9258,1
9259,5
9260,1
9261,5
9262,4
9264,2
6972,2
9266,1
9267,1
9268,3
9269,4
6391,4
9270,5
43228,3
9271,3
9273,2
38645,2
7470,2
57356,4
5543,4
9274,1
9275,1
8107,1
7665,2
9278,3
59053,4
9279,3
9280,3
9281,1
9282,5
35320,3
9283,1
55585,5
5080,5
9284,1
9285,3
9286,5
9287,4
9288,1
6719,4
9289,5
9290,5
6708,3
7286,1
9291,3
9292,5
8891,2
9293,5
9294,5
9217,1
9295,1
58849,3
55733,3
9296,4
9297,4
9298,2
9299,3
9300,4
9301,2
9172,2
9302,5
9303,1
6144,1
9304,2
9305,1
7148,4
9306,5
9307,1
6885,2
9308,1
9309,1
9310,5
9311,5
9313,3
9314,1
9315,4
5613,3
7714,2
6053,3
5665,4
9316,3
5689,3
9317,4
9318,3
6998,5
9320,3
9321,3
9322,3
9323,2
9324,4
9325,2
9326,4
6531,4
9327,2
8577,3
9328,5
9329,3
9330,3
9331,5
9332,3
9333,5
9334,5
9335,5
9336,5
9337,2
9338,3
9339,5
9340,5
9341,4
9342,4
9344,1
9345,5
5930,5
9346,4
6981,5
9347,1
5101,5
5136,4
9348,4
9349,1
9350,1
9351,5
9352,4
9353,1
7666,1
9354,3
9355,4
9356,3
9357,2
9358,3
9359,4
9360,5
9361,2
9362,2
9364,3
9365,3
9366,4
9367,2
9368,2
9369,1
9370,2
8582,1
9371,5
9372,1
7674,4
7873,2
9373,5
9374,5
9375,5
9376,2
8635,5
9377,1
9378,3
9379,1
9380,3
8683,4
9381,4
6373,3
9382,2
9383,4
9384,3
9385,2
7102,1
9386,1
9388,3
9390,5
9391,1
9392,4
7818,1
7933,3
31635,2
9393,2
39186,3
7071,1
6388,1
15093,4
8476,1
9394,3
6873,5
9395,3
9397,3
8662,4
9398,4
5272,5
9399,5
8811,2
9400,3
5572,1
7114,5
9401,3
9402,3
9403,1
9404,1
8212,2
9405,3
7270,1
7708,4
9406,4
9407,4
9408,1
7366,2
5681,2
26585,2
7433,3
5288,1
9409,4
38736,3
9410,4
5893,5
9411,5
5052,1
9412,3
6491,4
9413,4
9414,3
9415,1
9416,3
5994,3
9417,1
7657,4
9418,1
9419,2
9420,1
9421,1
5795,5
5410,2
8715,5
7836,3
6807,3
6761,4
9423,1
9424,3
9425,1
40216,1
48754,4
5209,2
9426,1
9427,3
9428,1
9041,3
7712,2
9429,1
4987,2
4990,1
5638,2
7617,4
9431,4
9433,3
8480,1
7760,3
9434,3
6195,4
9435,3
9436,2
8833,1
9437,3
9438,1
5233,2
9439,3
5474,4
9440,5
9441,4
9442,5
9443,4
9444,4
5786,4
54851,3
60003,5
7069,2
8000,4
6173,4
6563,2
9446,4
9447,1
5185,4
9448,5
7028,1
9451,3
9452,3
9453,2
8544,5
9454,1
9455,4
8519,5
9456,4
8479,5
9457,3
9459,3
9460,4
7734,3
9461,3
7908,4
9464,2
6685,3
9465,3
9466,3
9467,1
9468,4
9469,1
9470,1
39284,2
37585,1
9473,1
9474,5
9475,2
9476,5
43272,5
9477,2
9478,1
8242,3
9479,2
9480,2
9481,4
9482,2
9483,2
5547,1
5598,5
47020,2
9484,2
9485,2
9486,1
9487,5
9488,5
9489,2
8016,1
9490,3
9491,3
9492,5
5028,2
9493,3
9496,4
9497,2
9498,4
9499,1
5778,4
9501,2
9502,5
9503,1
9504,2
9505,2
5870,3
9506,4
9507,4
9508,2
9509,2
9510,4
9511,5
7775,2
6372,5
9512,3
9513,1
9514,4
9516,1
9517,2
9518,5
9519,4
9520,5
7678,3
9521,4
9522,3
6967,5
9523,2
9524,3
9525,5
9526,1
5210,1
9527,2
9528,4
9529,2
9530,3
9531,4
9532,3
7644,3
9533,1
9534,1
9535,1
7571,4
9536,1
9537,3
9538,5
9539,1
5092,4
7720,5
9541,2
9542,2
9543,5
9544,5
9545,5
9546,3
9547,2
9548,5
9549,5
7915,1
9550,3
49426,4
9551,3
9552,1
9553,3
8286,2
9554,2
9555,2
9556,2
9557,3
9558,5
6934,1
9560,2
9561,1
9563,5
9564,1
9565,2
9566,1
28241,3
9567,4
9568,1
9569,1
9570,1
9571,2
9572,1
9573,5
9574,3
9575,4
9576,1
9577,4
9578,2
9579,1
9580,2
6374,5
9581,5
9582,1
9583,2
47164,1
9584,3
9585,5
9586,5
9587,4
9588,1
9589,4
7262,3
6290,3
6828,4
7711,1
7442,3
9590,4
9591,5
7243,2
9592,3
9593,4
9594,5
6064,3
9595,4
7838,5
9596,3
8482,4
9597,4
9598,3
9500,3
9599,2
9600,4
5433,1
7033,2
9601,5
9602,3
9603,4
9604,4
9605,5
6789,2
9606,1
9608,1
9609,5
9540,3
9610,1
9611,4
9612,2
9613,3
9614,3
9615,4
9616,3
9617,1
9618,1
9619,3
9620,2
9621,2
9622,4
9623,3
9624,5
9625,5
9626,4
9171,2
5521,5
9627,2
9628,2
9629,1
9630,3
9631,5
9632,3
5082,1
9633,5
4902,1
9634,4
4992,4
9635,4
7498,4
5771,5
9636,2
5148,4
9637,3
9638,5
9639,4
9640,1
5075,3
9641,3
9642,4
5392,5
9643,2
9645,3
5545,2
9646,2
9647,4
9648,2
44598,1
9649,5
9652,5
9653,5
8646,3
8477,5
9654,2
9655,1
9656,1
9657,4
9658,2
9659,4
51714,2
6562,1
9660,1
9661,2
9662,4
9663,1
6898,4
9664,1
9665,1
7509,1
7353,2
5541,3
9666,5
7413,4
6194,2
7225,2
9667,3
9668,3
9607,3
9669,5
9671,3
9674,5
9675,1
9676,4
9677,3
9678,3
9679,5
8028,5
9680,2
6664,2
9683,4
9684,4
1600,3
8403,2
7857,1
9685,1
9686,1
5832,5
9687,4
5213,2
6882,2
9688,4
8274,1
6192,4
9689,3
56010,5
9690,5
9691,3
9692,1
9693,1
26872,1
9694,3
8075,4
5310,1
9695,1
9696,1
9682,1
9697,2
8954,1
6797,3
9698,5
9699,1
9700,2
5057,3
4931,1
9701,5
9702,1
9703,5
30603,4
7504,2
58802,1
9704,4
16090,1
9705,2
5494,2
9707,5
40728,2
9708,5
9709,1
5291,5
9710,3
9711,3
9712,3
7754,3
9713,4
9714,4
9715,5
9717,3
6258,4
9718,4
9719,4
6589,2
9720,2
9721,3
9722,2
9723,2
9724,1
9725,1
9726,1
5691,1
9727,1
9728,4
8929,3
9730,4
9731,1
9732,3
9733,1
9734,4
4985,1
9735,3
5971,2
9736,5
9737,4
9738,3
9739,4
6593,5
9005,2
9458,5
7685,2
9740,4
9741,5
9742,2
9744,3
5760,1
9745,1
9746,5
9748,2
6377,5
9749,4
9750,1
9751,1
8795,3
9753,5
9754,2
9755,4
9756,4
9757,3
5774,2
9758,2
7892,3
9759,2
9463,2
9760,5
9761,4
47007,5
9762,1
9763,5
9764,2
9766,5
9767,4
9768,2
9769,5
9770,4
9771,5
9772,1
9773,5
9774,3
9775,1
9776,5
9777,1
9778,3
9779,4
9780,3
9781,2
9782,4
9783,2
9784,1
9785,4
6697,3
7620,3
9786,4
9787,2
9788,3
9789,4
7807,4
9790,1
6886,4
6421,4
9791,3
9792,3
9793,4
9794,2
9795,5
9796,5
9797,5
9798,3
9799,5
9801,5
9803,1
9805,2
9806,3
9807,1
6331,3
9808,2
9809,5
5218,4
9810,5
9811,5
9812,2
9813,2
9815,4
9816,4
9817,4
9818,2
9819,2
9820,3
9821,3
7946,1
9822,5
9824,4
9825,4
5580,5
7166,1
9826,5
5993,1
9827,3
9828,3
53981,2
9829,1
9830,2
4908,2
5196,3
9832,3
9833,4
9834,3
9835,1
9836,4
7792,2
7325,1
9837,5
7063,1
7171,4
9838,1
7014,4
9839,3
9840,1
9841,1
9842,1
9843,1
9844,5
9845,5
9846,4
9847,3
9848,1
9849,4
9850,1
9851,2
9852,2
45060,4
51042,5
9853,1
6659,2
9855,1
9856,2
5419,1
9857,5
9859,4
9860,2
9861,5
9862,4
9863,1
9864,3
9865,3
5197,5
9866,2
7943,3
9867,2
9868,5
9869,4
7527,1
9871,5
9872,1
9873,5
9874,3
9875,2
9876,1
47742,3
9877,5
9878,3
9879,2
9880,5
9881,3
9882,3
9883,3
6457,4
9884,3
9885,1
9886,5
9887,4
9888,5
7371,1
9889,1
9890,1
9891,5
9892,5
4872,1
6757,4
9893,1
9894,3
9896,2
6792,1
5718,4
9897,5
9898,3
9899,1
9900,2
7822,5
8492,5
9901,1
7664,1
9902,3
9903,1
9904,5
9905,2
5920,5
9906,1
9907,4
9908,3
6951,3
7328,3
9909,1
6530,1
9910,1
14241,1
6012,4
9911,3
7269,1
9912,4
9913,5
6902,1
9914,2
9915,1
9916,3
6167,1
9917,3
9918,5
9919,2
9920,4
9921,3
9922,5
9923,5
5980,3
9924,1
7045,5
9925,5
6029,3
9926,2
5820,4
59879,5
9927,2
9928,2
9930,2
9931,1
9932,1
9933,1
6149,3
5244,4
9934,4
9935,4
9936,2
9938,5
8003,3
9939,3
9940,4
9941,2
9942,4
9943,5
6461,5
9945,5
7311,5
8569,2
9946,3
9947,5
8979,4
9948,2
9949,2
8997,2
9950,1
9952,3
9387,5
9954,5
9955,5
9956,1
9957,5
6581,2
9958,2
8999,3
9959,2
9960,4
9961,1
9962,1
7576,2
9963,3
9964,2
6956,5
5487,2
9965,4
6330,5
9966,2
9967,3
7416,1
9968,3
51251,2
9969,5
6994,1
9970,2
42856,5
9971,1
9972,5
9973,4
8655,2
7367,3
7135,1
9974,3
9975,5
7226,5
9976,1
9977,5
9978,4
7715,1
9979,2
9980,5
9981,2
6147,2
9982,5
9983,2
9985,1
9986,4
5864,4
9987,1
9990,1
9991,1
9994,4
9995,4
9996,3
13515,5
9997,1
9998,1
9999,3
30807,5
8840,4
10000,4
7092,4
10001,3
6895,5
10002,4
10003,5
10004,5
5526,1
10005,3
10006,2
41455,1
10007,4
10008,2
8335,5
10009,4
10010,5
10011,1
10012,2
10013,2
6640,5
10015,2
10016,2
6938,5
10017,5
10018,5
10019,4
10020,2
8460,3
10021,5
47602,1
6358,2
10022,5
10023,3
10024,4
10025,5
10026,3
10027,1
10028,5
10029,4
10030,3
10031,4
5139,1
10032,1
10033,1
10034,2
10035,4
10036,3
10037,5
7074,1
10038,1
8463,2
5759,2
10039,1
5247,3
10040,5
10041,2
10042,4
10043,1
10044,1
10045,3
10046,4
10047,3
10048,3
9988,1
10049,4
10050,1
10051,3
10052,2
10053,1
10054,5
10055,5
8883,2
10056,4
10057,2
6451,3
10059,2
7338,5
10060,5
10061,1
10062,3
10063,3
4904,2
10064,1
10065,5
10066,3
10067,5
6062,2
10068,3
10069,3
10070,2
10071,4
7059,2
10072,5
8207,3
5558,3
10074,4
10075,4
10076,2
10077,4
10078,4
10079,4
10081,2
10082,5
10083,3
10084,2
10085,3
10086,1
10087,1
10088,2
10089,3
10090,3
10091,1
10092,2
10093,5
10094,1
10095,4
5112,2
10096,3
10097,1
10099,4
10100,5
10101,3
6350,4
10102,5
7120,4
7376,2
6650,3
10103,1
10104,4
10106,1
49758,2
6162,2
10107,4
8878,4
8481,3
10108,2
10109,2
42558,2
10110,4
10111,3
44631,3
10112,5
53049,2
39298,1
10113,5
10114,4
10115,5
10116,2
9211,5
10117,4
10118,1
10119,3
7947,5
10121,1
10122,4
6747,2
20659,2
10123,4
10124,2
10125,2
10126,4
10098,5
10127,4
9562,1
42579,5
10129,5
10130,2
10131,5
5497,1
10132,1
10133,1
10134,1
10135,5
8330,2
10137,3
10138,1
10139,1
10140,1
10142,1
10143,2
10144,4
10145,2
10146,5
10147,5
10148,2
10149,1
10150,1
10151,2
46947,4
10152,2
10153,5
10154,3
10155,4
10156,1
10157,4
10158,2
10159,3
10160,1
10162,2
10163,2
10164,3
10165,3
10166,4
10167,2
10168,1
10169,1
10170,5
10171,1
10172,3
10173,1
10174,3
7067,4
23799,5
6013,1
10175,1
10176,3
10177,2
5176,3
60037,2
51029,1
10178,1
51958,2
7522,3
6580,1
10179,3
10180,4
10181,3
6400,4
10182,1
7730,3
10183,5
6224,3
10184,2
10185,3
7513,5
10186,4
10187,2
8904,1
10188,1
38221,1
10189,4
10190,2
10191,4
10193,4
10194,3
5279,4
7814,5
10195,1
10196,4
10197,3
10198,1
10199,5
10200,3
10201,3
10202,4
7242,2
10203,2
10204,4
10205,3
10206,4
10207,1
10208,1
10209,1
8814,3
10210,4
10211,3
10212,3
10213,1
10214,3
10215,3
10216,3
10217,1
10218,3
12347,5
10219,5
10220,1
10221,3
50725,1
10222,1
10223,5
10224,4
10225,5
10226,1
10227,5
8164,2
10228,4
10229,4
10230,2
6737,2
10231,4
10232,2
10233,4
10234,5
10235,1
10236,4
10237,5
7747,2
10238,5
10239,3
10240,2
10241,3
10242,3
29926,5
10244,1
7415,5
10245,3
10247,5
37867,1
4976,5
10249,2
10250,3
10251,4
9743,4
10252,3
10253,3
10254,1
5607,3
10255,5
10256,4
10257,2
10258,5
7991,2
10259,1
10260,3
10261,4
5346,5
10262,4
10264,3
10265,2
10266,5
10267,5
10269,4
6754,1
10271,5
10272,1
6397,4
10273,3
10274,3
10275,1
10277,5
5518,4
10278,2
5810,1
10279,3
10280,4
10281,4
7757,5
7642,4
10282,4
10283,4
10284,2
10285,3
10287,4
9038,5
10288,3
10289,5
7244,1
4898,3
10291,2
10292,1
9450,3
10293,4
10294,2
51900,4
10295,2
10296,1
10297,4
5559,2
10298,4
10299,4
8127,5
10300,1
10301,4
10302,4
10303,4
10304,4
10305,1
6785,2
10307,3
10308,1
4883,1
9018,1
7519,3
10309,1
10310,2
10311,1
5852,2
2574,1
10312,4
10313,2
6643,1
10314,5
10315,2
55645,2
10316,2
10317,4
10318,4
6914,3
10319,5
10320,4
10321,1
10322,2
4989,5
10323,2
10324,4
10326,2
10328,5
10329,2
10330,1
10331,2
10332,1
10333,4
7596,2
5306,3
10334,2
10335,1
10336,5
10337,1
5389,1
10338,1
4621,5
10080,4
10339,4
10340,5
2462,2
7050,5
10342,3
10343,5
10344,2
53657,1
10345,3
10346,4
10347,4
10350,2
10351,4
10352,3
10353,4
10354,4
10355,4
10356,5
6309,1
6927,1
10357,1
10358,4
6360,5
10359,3
10360,4
10362,1
10363,2
10364,2
10365,3
10366,4
10368,3
10369,5
6448,4
10370,4
10371,4
36150,3
8435,5
10372,5
6714,2
10373,2
7829,4
10374,3
6115,1
10375,4
10376,3
10377,5
10378,3
10379,2
10380,1
5990,5
7172,3
10381,1
6618,1
10382,1
10384,5
10385,5
10386,1
10387,1
10390,3
7755,2
10391,1
10392,1
10393,2
10394,4
10395,1
10396,1
10397,4
6222,2
10398,2
10399,2
10400,2
10402,3
10403,2
10406,1
10407,5
10408,4
10409,3
25788,2
10410,2
6494,5
10411,4
10412,1
5647,1
10413,1
10414,2
10415,3
10416,4
10417,5
10418,4
7318,5
37467,2
10419,2
8915,2
5387,2
10420,1
10421,5
10422,2
10423,1
10424,3
10425,5
10426,1
10428,2
8362,2
10429,1
10430,5
8239,2
7735,5
10431,5
7347,4
10432,5
10433,1
51197,2
10434,5
10435,2
10436,5
10437,4
10438,4
10439,1
10440,4
10441,1
10442,3
10443,2
10444,4
10445,1
7672,5
19645,4
4951,1
10446,5
